player,total_points
"T Temirhanov, Arslanbek",5
"T Turker, Mert Naci",5
"T Villoslada, Edouard",5
"T Weintraub, Ben",5
"T Wong, Hong Kit",5
"T Wood, Warren",5
"Tsitsipas, Petros",5
"Uzhylovskyi, Volodoymyr",5
"Villalon, Nicolas",5
"Beale, Jeremy",6
"Calvano, Giovanni",6
"Gobat, Adrien",6
"Gola, Andrea",6
"Harazaki, Asahi",6
"Hidalgo, Diego",6
"Inchauspe, Paul",6
"Milev, Yanaki",6
"Misasi, Giannicola",6
"Oetzbach, Adrian",6
"Ostapenkov, Daniil",6
"Qamar, Faisal",6
"Rossi, Leonardo",6
"Sakamoto, Rei",6
"Shin, Maxim",6
"Shin, Sanhui",6
"Singh, Dalwinder",6
"Smith, Jordan",6
"Suzuki, Ko",6
"Swenson, Bjorn",6
"T Balaji, N.Sriram",6
"T Bybel, Nicholas",6
"T Camus, Charlie",6
"T Catry, Robin",6
"T Chanta, Thanapet",6
"T Christodoulou, Stylianos",6
"T Ellouck, Ron",6
"T Fantini, Luca",6
"T Faria, Luis",6
"T Fitriadi, M Rifki",6
"T Heliovaara, Harri",6
"T Hurrion, Millen",6
"T Khoeblal, Elgin",6
"T Kiger, Mac",6
"T King, Evan",6
"T Leal, Vitor",6
"T Llanes, Francisco",6
"T Molino, Javier",6
"T Murphy, Brandon",6
"T Navasirisomboon, Jirat",6
"T Niklas-Salminen, Patrik",6
"T Nincevic, Frane",6
"T Novansky, Michal",6
"T Nunez, Victor",6
"T Nys, Hugo",6
"T Pampanin, Pietro",6
"T Planinsek, Filip Jeff",6
"T Pontico, Hugo",6
"T Rivera, Hudson",6
"T Rogers, Andrew",6
"T Stakusic, Marko",6
"T Sueoka, Yamato",6
"T Takamisawa, Taketo",6
"T Tashbulatov, Dostanbek",6
"T Von Der Schulenburg, Jeffrey",6
"Tajima, Naoki",6
"Trinh, Linh Giang",6
"Uesugi, Kaito",6
"Antonescu, Vasile",7
"Azoides, Demetris",7
"Banerjee, Samir",7
"Bass, Finn",7
"Bolardt, Antonin",7
"Brown, Preston",7
"De Rossi, Marco",7
"Heck, Hunter",7
"Kim, Jae Hwan",7
"Lapadat, Joshua",7
"Liaonenka, Aliaksandr",7
"Markovski, Obrad",7
"Moghini, Gabriele",7
"Nusdeo, Joao Marcos",7
"Pawelski, Martyn",7
"Ragazzi, Alessandro",7
"Roberts, Justin",7
"Rola, Blaz",7
"Safranek, Vaclav",7
"T Bar Biryukov, Petr",7
"T Boyd, Kalman L.",7
"T Castro, Cristobal",7
"T Djuric, Branko",7
"T Gimenez, Julián",7
"T Hamza Reguig, Samir",7
"T Kawahashi, Yuta",7
"T Masabayashi, Tomohiro",7
"T Perez Sanz, David",7
"T Vincent, Antoine",7
"Tumasonis, Gabriel",7
"Vardhan, Vishnu",7
"Williams, Cooper",7
"Arutiunian, Erik",8
"Bickersteth, Jacob",8
"Bosio, Gabriele",8
"Bourgois, Cesar",8
"Brigida, Omar",8
"Cekirge, Kuzey",8
"Flores, Jesse",8
"Freund, Simon",8
"Ghibaudo, Antoine",8
"Ginat, Roi",8
"Harper, Cleeve",8
"Kuperstein, Alex",8
"Minin, Matvey",8
"Nava, Eduardo",8
"Paris, Joshua",8
"Pospisil, Jaroslav",8
"Poullain, Lucas",8
"Sadaoui, Mehdi",8
"Sakharov, Gleb",8
"Scott, Fletcher",8
"Shane, Ryan",8
"Slump, Stijn",8
"T Aksu, Cengiz",8
"T Cloes, Loic",8
"T Evans, Tom",8
"T Kim, Aidan",8
"T Sabanin, Yan",8
"T Schnaitter, Jakob",8
"Trinker, Jonas",8
"Vilella Martinez, Mario",8
"Wojcik, Jakub",8
"Yunis, Facundo",8
"Abderrahman, Wissam",9
"Agabigun, Sarp",9
"Bagnolini, Daniel",9
"Becerra Otarola, Ignacio Antonio",9
"Becroft, Isaac",9
"Brady, Patrick",9
"Brumm, Jacob",9
"Butvilas, Edas",9
"Campana, Federico",9
"Chin, John",9
"Chrysochos, Petros",9
"Esquici, Lorenzo",9
"Gomez, Alejandro",9
"Ilagan, Andre",9
"Lemstra, Kai",9
"Lo, Chien-hsun",9
"Martin, Dan",9
"Mikula, Michal",9
"Pavlovic, Luka",9
"Ratti, Lucio",9
"Reynolds, Finn",9
"Ricca, Giorgio",9
"Robredo, Tommy",9
"Romios, Matthew Christopher",9
"Salton, Dylan",9
"Simonit, Ezequiel",9
"T Arribage, Theo",9
"T Bacaloni, Andrea",9
"T Boureau, Alexis",9
"T Doria, Luciano",9
