Name,Rating
Kekkon Yubiwa Monogatari,6.07
Kidou Senshi Gundam G40,6.07
Kidou Senshi Gundam: Uchuu Seiki Yowa,6.07
Kokoroya,6.07
Konohana no Sakuya Mori,6.07
Kujibiki Unbalance,6.07
Lan Mao,6.07
Lu Ling,6.07
Mahou Shoujo Nante Mou Ii desu kara. Second Season,6.07
Majutsushi Orphen Hagure Tabi: Seiiki-hen,6.07
Majutsushi Orphen Hagure Tabi: Tennin no Isan,6.07
Mameneko,6.07
Meitantei Pikachu: Kareinaru Morning Routine,6.07
Metal Fight Beyblade Zero G Specials,6.07
Moldiver,6.07
Namu Amida Butsu! Rendai Utena,6.07
Nankyoku Penguin Colors,6.07
Ojamanga Yamada-kun (Movie),6.07
Osananajimi ga Zettai ni Makenai Love Comedy,6.07
Osomatsu-kun (1988): Appare! Chibita no Onitaiji zansu,6.07
Qin Shi Mingyue: Luosheng Tangxia,6.07
Samurai Spirits 2: Asura Zanmaden,6.07
Sengoku Youko: Senma Konton-hen Recap,6.07
Sengoku Youko: Yonaoshi Kyoudai-hen Recap,6.07
Shin Dokonjou Gaeru,6.07
Shin Kidou Senki Gundam Wing: Frozen Teardrop Picture Drama - Aratanaru Tatakai,6.07
Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!,6.07
Sue Cat,6.07
Susume! Godzilland,6.07
Tales of the Rays Gekijou,6.07
Tama & Friends: Uchi no Tama Shirimasen ka?,6.07
Tamagotchi! Miracle Friends,6.07
Tattoon Master,6.07
Tenshi no Shippo Chu!: Tenshi no Utagoe,6.07
Terra Formars: Earth-hen,6.07
Tiger & Bunny Recaps,6.07
"Tottoko Hamtarou: ""A"" kara ""N"" made Hiragana Asobi",6.07
Tottoko Hamtarou: Hiragana Tanken,6.07
Tribe Nine,6.07
Tu Xia Zhi Qing Li Chuanshuo,6.07
Uchuujin Tanaka Tarou,6.07
Yankee Reppuu-tai,6.07
Yurumates 3D OVA,6.07
Abarenbou Rikishi!! Matsutarou,6.08
Alps Monogatari: Watashi no Annette Specials,6.08
Angelique: Seichi yori Ai wo Komete,6.08
Apache Yakyuugun,6.08
Assemble Insert,6.08
Bear Bear Bear Kuma Punch!,6.08
BlazBlue: Alter Memory,6.08
Boku no Boukuugou,6.08
Chocolate Underground,6.08
Closure no Kimitsu File,6.08
Dive!!,6.08
Double Hard,6.08
Flying Witch Petit,6.08
Gegege no Kitarou: Youkai Daisensou,6.08
Ginga e Kickoff!! Natsuyasumi Special,6.08
Golden Douga Gekijou Specials,6.08
Guomin Laogong Dai Huijia 4th Season,6.08
Hime Gal♥Paradise,6.08
Himitsukessha Taka no Tsume NEO,6.08
Hoshi ni Negai wo: Cold Body + Warm Heart,6.08
Jantama Pong☆,6.08
Kai Feng Qitan: Zhege Baogong Bu Taixing,6.08
Kataku,6.08
Kimi no Sumu Machi,6.08
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,6.08
Koneko no Studio,6.08
Kurogane no Linebarrels Picture Drama,6.08
"Little Polar Bear: Shirokuma-kun, Doko e?",6.08
Magical Canan,6.08
Manga Nippon Mukashibanashi,6.08
Maze☆Bakunetsu Jikuu: Hot Springs,6.08
Michitekuru Toki no Mukou ni,6.08
Mori no Densetsu: Dai Ni Gakushou,6.08
Nanami-chan 3rd Series,6.08
Ozma,6.08
Rakka-sei,6.08
Seikaisuru Kado: Ekwari,6.08
Shikabane Hime: Puchitto,6.08
Shin Kaitei Gunkan,6.08
Softenni Specials,6.08
SoniAni: Super Sonico The Animation,6.08
Sore Ike! Anpanman: Ringo Boy to Minna no Negai,6.08
Soukou Kihei Votoms Recaps,6.08
Stitch!,6.08
"Taisetsu na Kazoku wo Tsutsumu, Sono Te.",6.08
Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama,6.08
Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,6.08
Ukkari Pénélope (2009),6.08
Wo Jiao Bai Xiaofei,6.08
Yakyuukyou no Uta: Kita no Ookami Minami no Tora,6.08
Yi Shijie Zhongyao Pu,6.08
Youkoso Lodoss-tou e!,6.08
Yutori-chan,6.08
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. Specials,6.08
.hack//Gift,6.09
Aa Harimanada,6.09
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,6.09
Arad: Suming Zhi Men,6.09
Ben-To Picture Drama,6.09
Black Bullet: Tenchuu＊Girls,6.09
Bokura no Ame-iro Protocol,6.09
Bonjour♪Koiaji Pâtisserie,6.09
Buddy Go! 2,6.09
Chou Supercar Gattiger,6.09
Chuck Shimezou,6.09
Climber,6.09
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,6.09
Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...,6.09
Fangkemeng: Bu Yuan Zhi Dao de Fangxing Baokemeng?!,6.09
Gunslinger Stratos The Animation: Bunki/Futatsu no Mirai,6.09
Hi-Speed Jecy,6.09
Hijikata Toshizou: Shiro no Kiseki,6.09
Kagaku Bouken-tai Tansar 5,6.09
Kaze no Matasaburou (Movie),6.09
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,6.09
"Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana - Ichinen Mae, Nijou Kujaku no Urei",6.09
Kikou Kai Galient OVA,6.09
King of Prism: Shiny Seven Stars I - Prologue x Yukinojou x Taiga,6.09
Koguma no Misha,6.09
Machine Robo: Butchigiri Battle Hackers,6.09
Magical★Taruruuto-kun: Sukisuki Takoyaki!,6.09
Mars,6.09
Metal Fighter Miku,6.09
Mugen Senki Portriss,6.09
Nagagutsu Sanjuushi,6.09
Nagareboshi Lens Specials,6.09
Neko no Nyagh: Nya Misérables,6.09
Nekota no Koto ga Kininatte Shikatanai. (ONA),6.09
Ninja Batman,6.09
Nono-chan,6.09
Norageki!,6.09
Project Zeorymer,6.09
Robot Girls Z Episode 0,6.09
Seikaisuru Kado: Beyond Information,6.09
Shin Gakkou no Yuurei,6.09
Slide,6.09
Soul Link,6.09
Starry☆Sky,6.09
Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki,6.09
Taishou Yakyuu Musume. Specials,6.09
Tales of HR,6.09
Teizokurei Daydream,6.09
